,0,1
0,WeightedAverageNumberOfDilutedSharesOutstanding,0
1,ROE,1
2,ROA,0
3,AssetTurnover,3
4,DebtToEquity,9
5,NetProfitMargin,0
6,OperatingMargin,0
7,EarningsPerShareDiluted_log,0
8,GrossProfit_log,5
9,NetIncomeLoss_log,0
10,OperatingIncomeLoss_log,0
11,Revenues_log,0
12,Assets_log,0
13,Liabilities_log,0
14,NoncurrentAssets_log,0
15,WeightedAverageNumberOfDilutedSharesOutstanding_log,0
16,Equity_log,3
17,ROE_log,0
18,ROA_log,0
19,BookValuePerShare_log,0
20,SalesPerShare_log,0
21,AssetTurnover_log,1
22,DebtToEquity_log,0
23,NetProfitMargin_log,0
24,OperatingMargin_log,8
25,EarningsPerShareDilutedTTM_log,0
26,SalesPerShareTTM_log,1
27,PE_Ratio,23
28,PB_Ratio,17
29,PS_Ratio,9
30,MarketCapLog,0
31,CostsAndExpenses_log,0
32,Returns,7
33,lag_5,2
34,ma_5,0
35,std_5,2
36,skew_5,1
37,kurt_5,0
38,total_return_5,0
39,min_5,0
40,max_5,3
41,first_return_5,0
42,last_return_5,0
43,lag_25,5
44,ma_25,7
45,std_25,5
46,skew_25,5
47,kurt_25,6
48,total_return_25,2
49,min_25,1
50,max_25,7
51,first_return_25,8
52,last_return_25,0
53,lag_90,8
54,ma_90,14
55,std_90,8
56,skew_90,8
57,kurt_90,18
58,total_return_90,1
59,min_90,3
60,max_90,0
61,first_return_90,5
62,last_return_90,0
63,lag_180,8
64,ma_180,17
65,std_180,15
66,skew_180,10
67,kurt_180,24
68,total_return_180,5
69,min_180,2
70,max_180,11
71,first_return_180,8
72,last_return_180,0
73,lag_252,1
74,ma_252,8
75,std_252,7
76,skew_252,9
77,kurt_252,8
78,total_return_252,1
79,min_252,8
80,max_252,0
81,first_return_252,6
82,last_return_252,0
83,lag_504,11
84,ma_504,3
85,std_504,1
86,skew_504,0
87,kurt_504,13
88,total_return_504,0
89,min_504,0
90,max_504,0
91,first_return_504,4
92,last_return_504,3
